テストファイルNo.,実装方法タイトル,対象,見解,代替もしくは推奨する方法,注意点,備考,
達成基準 7.2.1.2 フォーカス移動,,,,,,,
G21,G21: ユーザーがコンテンツ内に閉じ込められないようにする,プラグイン（Flash等）,要注意,HTMLのウェブページにFlashを埋め込む際には、FLASH17の実装方法を参考にするとよい。ただし、FLASH17のAS検証はまだ行っていないため、動作確認が必要である。,FirefoxとSafariでは、キーボード操作ではFlash内にフォーカスを移動できないという既知の不具合がある。,,
