,Internet Explorer 6.0　アクセシビリティサポーテッド検証結果 [等級AA]  2012年5月版,,,,,記号の説明,,,,
,＊ この検証結果は、ウェブアクセシビリティ基盤委員会 実装ワーキンググループ（WG2）が提供する参考情報であり、予告なく変更されることがあります。,,,,,○,サポートあり,,,
,＊ この情報をご利用になる前に、ライセンス（利用許諾条項）と免責事項を必ずご確認ください。,,,,,△,一部サポート,,,
,＊最新版は、ウェブアクセシビリティ基盤委員会のサイトでご確認ください（http://waic.jp/docs/jis2010/as.html）。,,,,,×,サポートなし,,,
,,,,,,？,判定できず,,,
,,,,,,-,テスト不要（N/A）,,,
,"Windows XP , Internet Explorer 6.0 , 支援技術なし",,,,,,,,,
,"テストファイル
No.","検証結果
○/△/×/?/-",操作手順,備考,,,,,,
,C12,○,"手順
1.メニューの[表示]－[文字サイズの変更]で、「最大」を選択して文字サイズを大きくする。
2.<h1>の「ユーザー」と本文中の「とても」の文字サイズが相対的に変化するか確認する。",,,,,,,
,C13,○,"手順
1.メニューの[表示]－[文字サイズの変更]で、「大」「最大」を選択して文字サイズを大きくする。
2.それぞれの文字サイズが相対的に変化するか確認する。",,,,,,,
,C14,○,"手順
1.メニューの[表示]－[文字サイズの変更]で、「大」「最大」を選択して文字サイズを大きくする。
2.<h1>の「ユーザー」と本文中の「とても」の文字サイズが相対的に変化するか確認する。",,,,,,,
,C15-1,△,"キーボード操作でフォーカスをあてた時、リンクの文字色と背景色が変化しない。

マウス操作：
1.それぞれのテキストリンクにマウスカーソルをあて、リンクの文字色と背景色が変化するか確認する。

キーボード操作：
1. Tabキーによる移動でそれぞれのテキストリンクにフォーカスをあて、リンクの文字色と背景色が変化するか確認する。",キーボード操作でフォーカスをあてた時、リンクの文字色と背景色が変化しない為。,,,,,,
,C15-2a,×,"どちらの場合もテキストフィールドの背景色は変化しない。

マウス操作：
1.テキストフィールドにフォーカスを入れ、テキストフィールドの背景色が#7FFF00（緑）になるか確認する。
2.フォーカスを外すと背景色は元に戻るか確認する。

キーボード操作：
1.テキストフィールドにフォーカスを入れると、テキストフィールドの背景色が#7FFF00（緑）になるか確認する。
2.フォーカスを外すと背景色は元に戻るか確認する。",どちらの場合もテキストフィールドの背景色は変化しない為。,,,,,,
,C15-2b,×,"どちらの場合もテキストエリアの背景色は変化しない。

マウス操作：
1.テキストエリアにフォーカスを入れ、テキストエリアの背景色が#7FFF00（緑）になるか確認する。
2.フォーカスを外すと背景色は元に戻るか確認する。

キーボード操作：
1.テキストエリアにフォーカスを入れると、テキストエリアの背景色が#7FFF00（緑）になるか確認する。
2.フォーカスを外すと背景色は元に戻るか確認する。",どちらの場合もテキストエリアの背景色は変化しない為。,,,,,,
,C15-2c,×,"どちらの場合もラベルの背景色は変化しない。

マウス操作：
1.ラジオボタン又はラベルのテキストを選択すると、ラベルの背景色が#7FFF00（緑）になるか確認する。
2.もう一方のラジオボタンに選択を変更すると、選択したほうのラベルの背景色が#7FFF00（緑）になるか確認する。
3.その際、フォーカスを外すと背景色は元に戻るか確認する。

キーボード操作：
1.ラジオボタンにフォーカスをあてると、ラベルの背景色が#7FFF00（緑）になるか確認する。
2.もう一方のラジオボタンに選択を変更すると、選択したほうのラベルの背景色が#7FFF00（緑）になるか確認する。
3.その際、フォーカスを外すと背景色は元に戻るか確認する。",どちらの場合もラベルの背景色は変化しない為。,,,,,,
,C15-2d,×,"どちらの場合もチェックボックスのラベルの背景色は変化しない。

マウス操作：
1.チェックボックス又はラベルのテキストを選択すると、選択したチェックボックスのラベルの背景色が#7FFF00（緑）になるか確認する。
2.フォーカスを外すと背景色は元に戻るか確認する。

キーボード操作：
1.チェックボックスにフォーカスをあてると、そのチェックボックスのラベルの背景色が#7FFF00（緑）になるか確認する。
2.フォーカスを外すと背景色は元に戻るか確認する。",どちらの場合もチェックボックスのラベルの背景色は変化しない為。,,,,,,
,C15-2e,×,"どちらの場合もセレクトメニューの背景色は変化しない。

マウス操作：
1.セレクトメニューを選択したとき、セレクトメニューの背景色が#7FFF00（緑）になるか確認する。
2.フォーカスを外すと背景色は元に戻るか確認する。

キーボード操作：
1.セレクトメニューにフォーカスをあてたとき及びセレクトメニューを開いたとき、セレクトメニューの背景色が#7FFF00（緑）になるか確認する。
2.フォーカスを外すと背景色は元に戻るか確認する。",どちらの場合もセレクトメニューの背景色は変化しない為。,,,,,,
,C15-2f,×,"どちらの場合もボタンの背景色は変化しない。

マウス操作：
1.ボタンをクリックしたとき、ボタンの背景色が#7FFF00（緑）になるか確認する。

キーボード操作：
1.ボタンにフォーカスをあてたとき、ボタンの背景色が#7FFF00（緑）になるか確認する。
2.フォーカスを外すと背景色は元に戻るか確認する。",どちらの場合もボタンの背景色は変化しない為。,,,,,,
,C15-2g,×,"どちらの場合もボタンの背景色は変化しない。

マウス操作：
1.ボタンをクリックしたとき、ボタンの背景色が#7FFF00（緑）になるか確認する。

キーボード操作：
1.ボタンにフォーカスをあてたとき、ボタンの背景色が#7FFF00（緑）になるか確認する。
2.フォーカスを外すと背景色は元に戻るか確認する。",どちらの場合もボタンの背景色は変化しない為。,,,,,,
,G146,○,メニューの[表示]－[文字サイズの変更]で、「大」「最大」を選択して文字サイズを大きくし、ブラウザの横スクロールバーが表示されることなく、すべてのコンテンツが表示される事を確認。,,,,,,,
,G178-1,○,"マウス操作：
1. 「大きく」をクリックするとテキストの文字サイズが25％ずつ大きくなる事を確認。計6回クリック。
2. 「小さく」をクリックすると25％ずつ小さくなる事を確認。計5回クリック。
3. 「元に戻す」をクリックするとデフォルトの文字サイズに戻る事を確認。

キーボード操作：
1. 「大きく」を押下するとテキストの文字サイズが25％ずつ大きくなる事を確認。計6回クリック。
2. Tabキーを押下後、「小さく」を押下すると25％ずつ小さくなる事を確認。計5回クリック。
3. Tabキーを押下後、「元に戻す」を押下するとデフォルトの文字サイズに戻る事を確認。",,,,,,,
,G178-2,○,"マウス操作：
1. 「やや小さく」をクリックし文字サイズがデフォルトサイズの80％になる事を確認。
2. 「やや大きく」をクリックし文字サイズがデフォルトサイズの125％になる事を確認。
3. 「大きく」をクリックし文字サイズがデフォルトサイズの150％になる事を確認。
4. 「最大」をクリックし文字サイズがデフォルトサイズの200％になる事を確認。
5. 「元に戻す」をクリックするとデフォルトの文字サイズに戻る事を確認。

キーボード操作：
1. 「やや小さく」を押下し文字サイズがデフォルトサイズの80％になる事を確認。
2. Tabキー押下後、「やや大きく」を押下し文字サイズがデフォルトサイズの125％になる事を確認。
3. Tabキー押下後、「大きく」を押下し文字サイズがデフォルトサイズの150％になる事を確認。
4. Tabキー押下後、「最大」を押下し文字サイズがデフォルトサイズの200％になる事を確認。
5. Tabキー押下後、「元に戻す」を押下するとデフォルトの文字サイズに戻る事を確認。",,,,,,,
,G179-1a,△,"手順
1.メニューの[表示]－[文字サイズの変更]で、「最大」を選択して文字サイズを大きくする。
2.スクロールバーが出現するので、一番下までスクロールさせる。
3.最後の文「ここで1(2)列目のカラム終了です。」まで表示されているか確認する。",文字サイズを大きくすることは可能だが、スクロールバーをキーボードで操作できない。,,,,,,
,G179-1b,△,"手順
1.メニューの[表示]－[文字サイズの変更]で、「最大」を選択して文字サイズを大きくする。
2.スクロールバーが出現するので、一番下までスクロールさせる。
3.最後の文「ここで1(2)列目のカラム終了です。」まで表示されているか確認する。",文字サイズを大きくすることは可能だが、スクロールバーをキーボードで操作できない。,,,,,,
,G179-2,○,"手順
1.メニューの[表示]－[文字サイズの変更]で、「最大」を選択して文字サイズを大きくする。
2.テキストのコンテナ（背景色のついている部分）の幅は固定されたまま、高さはテキストの大きさに応じて徐々に伸びていきながら、すべてのコンテンツが表示された状態でテキストサイズが大きくなっていくか確認する。",,,,,,,
,G179-3,○,"手順
1.メニューの[表示]－[文字サイズの変更]で、「最大」を選択して文字サイズを大きくする。
2.テキストのコンテナ（背景色のついている部分）の幅と高さはテキストの大きさに応じて徐々に伸びていきながら、すべてのコンテンツが表示された状態でテキストサイズが大きくなっていくか（テキストが行送りされていくのはOK）確認する。",,,,,,,
,H58,-,テスト不要,,,,,,,
,H59,×,ブラウザに機能無し,ブラウザに機能無し,,,,,,
,SCR31,×,"フォーカスが外れた後、色が元の背景色に戻らない。
このテストの範囲では無いかもしれないが、「企業情報」「サポート」「お問い合わせ」にフォーカスが当たった際に表示されるフォーカスの点線のエリアがおかしい。

手順
1.キーボード操作で各リンクがフォーカスを受け取った際に、そのリンクの背景色が黄色に変わり、フォーカスが外れると元の表示（背景色）に戻るか確認する。",フォーカスが外れた後、色が元の背景色に戻らない為。,,,,,,
,,,,,,,,,,
,この作品は、クリエイティブ・コモンズ・ライセンスの下でライセンスされています,,,,,,,,,
,,,,,,,,,,
,,,利用許諾条件（表示 - 継承 2.1 日本）の確認 ,,,,,,,
,,,,,,,,,,
,原著作者：富士通デザイン株式会社,,,,,,,,,
,作成者：ウェブアクセシビリティ基盤委員会　実装ワーキンググループ（WG2）,,,,,,,,,
,作成日： 2010年8月20日,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
