,G88-1,○,"■操作手順
リンク「本テスト対象のコードは別ファイルになっています。 」でEnterキー押下

■音声読み上げ
Ctrl＋下矢印キー、またはTabキー
「本テスト対象のコードは別ファイルになっています　リンク」
Enterキーでリンク先を開く
「自己適合宣言　たてぼう　ウェブアクセシビリティ基盤委員会」",,,,,,,,
,G90-1,-,テスト不要,,,,,,,,
,G90-2,-,テスト不要,,,,,,,,
,G90-3,-,テスト不要,,,,,,,,
,G90-4,-,テスト不要,,,,,,,,
,G90-5,-,テスト不要,,,,,,,,
,G91,○,"■操作手順
Ctrl＋下矢印キー、またはTabキーでリンクへ移動してEnterキー

■音声読み上げ
Ctrl＋下矢印キー、またはTabキー
「東京駅構内の最新のルート　リンク」
Enterキーでリンク先ページへ",,,,,,,,
,G96-1,○,"■操作手順
Ctrl＋下矢印キーで移動しながら確認

■音声読み上げ
Ctrl＋下矢印キー
「次へ進むには、円い ""go"" ボタンを押してください。」
Ctrl＋下矢印キー
「go  のプッシュボタン」",,,,,,,,
,G96-2,○,"■操作手順
Ctrl＋下矢印キーで順に移動。または、「下にある「利用可能な番号」の一覧の中から希望する番号を選んでください。」の後に、Hキー押下。

■音声読み上げ
「下にある「利用可能な番号」の一覧の中から希望する番号を選んでください。」
Ctrl＋下矢印キー
「利用可能な番号」
Ctrl＋下矢印キー
「1234-5678-90」
・・・",Hキーを押下した場合は、「利用可能な番号　見出しレベル1」と読み上げる,,,,,,,
,G96-3,○,"■操作手順
Ctrl＋下矢印キー、またはTabキーで移動。

■音声読み上げ
Ctrl＋下矢印キー
「右下の「プレビュー」ボタンを押してください。」
Ctrl＋下矢印キー、またはTabキー
「印刷　リンク」
Ctrl＋下矢印キー、またはTabキー
「キャンセル　リンク」
Ctrl＋下矢印キー、またはTabキー
「OK　リンク」
Ctrl＋下矢印キー、またはTabキー
「プレビュー　リンク」",,,,,,,,
