テストファイルNo.,実装方法タイトル,対象,見解,代替もしくは推奨する方法,注意点,備考
達成基準 7.3.3.2 ラベル又は説明文:,,,,,,
H65-1,H65: label要素を用いることができないとき、title属性を用いてフォーム・コントロールを特定する,select要素のtitle属性,要注意,"フォーム・コントロールにはラベルとなるテキストを付与して、そのテキストをlabel要素を用いてマークアップするのが最もよい。
ラベルとなるテキストを付与できない場合には、title属性を用いることができる。","キーボード操作でフォーカスを移動させた際には、title属性値がツールチップによって表示されないことに注意する必要がある。そのため、ラベルとなるテキストを付与できずにtitle属性を用いる場合には、利用者がコントロールの名前や意味を視覚的に判断できるようにフォーム・コントロールを配置しなければならない。また、必要不可欠な情報である場合には、本文などで提供すべきである。
また、select要素のラベルとなるテキストがない場合（title属性を用いる場合）は、option要素のテキスト（選択肢）を何を選択するのかが分かるように記述すること。",使用することによる悪影響はなく、キーボード操作時も画面にツールチップが表示されるように、ブラウザの今後の機能向上に期待する。
H65-2,H65: label要素を用いることができないとき、title属性を用いてフォーム・コントロールを特定する,"input要素（type=""text"")のtitle属性",要注意,"フォーム・コントロールにはラベルとなるテキストを付与して、そのテキストをlabel要素を用いてマークアップするのが最もよい。
ラベルとなるテキストを付与できない場合には、title属性を用いることができる。",キーボード操作でフォーカスを移動させた際には、title属性値がツールチップによって表示されないことに注意する必要がある。そのため、ラベルとなるテキストを付与できずにtitle属性を用いる場合には、利用者がコントロールの名前や意味を視覚的に判断できるようにフォーム・コントロールを配置しなければならない。また、必要不可欠な情報である場合には、本文などで提供すべきである。,使用することによる悪影響はなく、キーボード操作時も画面にツールチップが表示されるように、ブラウザの今後の機能向上に期待する。
H65-3,H65: label要素を用いることができないとき、title属性を用いてフォーム・コントロールを特定する,"input要素（type=""text"")のtitle属性",要注意,"フォーム・コントロールにはラベルとなるテキストを付与して、そのテキストをlabel要素を用いてマークアップするのが最もよい。
ラベルとなるテキストを付与できない場合には、title属性を用いることができる。",キーボード操作でフォーカスを移動させた際には、title属性値がツールチップによって表示されないことに注意する必要がある。そのため、ラベルとなるテキストを付与できずにtitle属性を用いる場合には、利用者がコントロールの名前や意味を視覚的に判断できるようにフォーム・コントロールを配置しなければならない。また、必要不可欠な情報である場合には、本文などで提供すべきである。,使用することによる悪影響はなく、キーボード操作時も画面にツールチップが表示されるように、ブラウザの今後の機能向上に期待する。
H71-1,H71: fieldset要素及びlegend要素を用いて、フォーム・コントロールのグループに関する説明を提供する,legend要素のラベル：ラジオボタン（form要素なし）,達成可能,,,使用することによる悪影響はなく、スクリーンリーダーの今後の機能向上に期待する。
H71-2,H71: fieldset要素及びlegend要素を用いて、フォーム・コントロールのグループに関する説明を提供する,legend要素のラベル：チェックボックス,達成可能,,,使用することによる悪影響はなく、スクリーンリーダーの今後の機能向上に期待する。
H71-3,H71: fieldset要素及びlegend要素を用いて、フォーム・コントロールのグループに関する説明を提供する,legend要素のラベル：ラジオボタン（form要素あり）,達成可能,,,"使用することによる悪影響はなく、スクリーンリーダーの今後の機能向上に期待する。
ちなみに、JAWSでは、[コントロールグループ名を読む]をオンにするとラベルを読み上げる。
"
H71-4,H71: fieldset要素及びlegend要素を用いて、フォーム・コントロールのグループに関する説明を提供する,legend要素のラベル：テキストフィールド,達成可能,,,使用することによる悪影響はなく、スクリーンリーダーの今後の機能向上に期待する。
