,G90-3,○,"【1】ボタン画像にマウスポインタを乗せる（マウスオーバーする）と、画像が切り替わるかを確認する。
【2】ボタン画像にフォーカスを移動させると、画像が切り替わるかを確認する。

","【1】○
ボタン画像にマウスポインタを乗せる（マウスオーバーする）と、画像が灰色に白いロゴのものに切り替わることを確認した。
【2】○
ボタン画像にフォーカスを移動させると、画像が灰色に白いロゴのものに切り替わることを確認した。

",,,,
,G90-4,○,"【1】ボタン画像にマウスポインタを乗せた後にマウスポインタを外すと、画像が切り替わるかを確認する。
【2】ボタン画像にフォーカスを移動させた後にフォーカスを外すと、画像が切り替わるかを確認する。","【1】○
ボタン画像にマウスポインタを乗せた後にマウスポインタを外すと、画像が灰色に白いロゴのものに切り替わることを確認した。
【2】○
ボタン画像にフォーカスを移動させた後にフォーカスを外すと、画像が灰色に白いロゴのものに切り替わることを確認した。

",,,,
,G90-5,○,"【1】ボタン画像をクリックすると、画像が切り替わるかを確認する。
【2】ボタン画像にフォーカスを移動させてEnterキーなどを押下すると、画像が切り替わるかを確認する。","【1】○
ボタン画像をクリックすると、画像が灰色に白いロゴのものに切り替わることを確認した。
【2】○
ボタン画像にフォーカスを移動させてEnterキーなどを押下すると、画像が灰色に白いロゴのものに切り替わることを確認した。

",,,,
,G91,○,"【1】テキストリンクを押下して、リンク先のページへ移動できるかを確認する。
【2】テキストリンクにフォーカスを移動させて、キー操作によりリンク先のページへ移動できるかを確認する。","【1】○
テキストリンクをクリックして、「東京駅構内の最新のルート」と書かれたリンク先のページへ移動することを確認した。
【2】○
テキストリンクにフォーカスを移動させて、キー操作により「東京駅構内の最新のルート」と書かれたリンク先のページへ移動することを確認した。

",,,,
,G96-1,‐,テスト不要,,,,,
,G96-2,‐,テスト不要,,,,,
,G96-3,‐,テスト不要,,,,,
,G107,○,"【1】リンク「用語解説 (新しいウィンドウで表示)」にマウスポインタを置いただけでは何も起こらずに、リンクをクリックしたときだけリンク先が別ウィンドウで開くかを確認する。
【2】リンク「用語解説 (新しいウィンドウで表示)」にフォーカスを移動させただけでは何も起こらずに、リンクを押下したときだけリンク先が別ウィンドウで開くかを確認する。","【1】○
「用語解説 (新しいウィンドウで表示)」にマウスポインタを置いただけでは何も起こらずに、リンクをクリックしたときだけ「用語解説のページ」と書かれたリンク先が別タブで開くことを確認した。
【2】○
「用語解説 (新しいウィンドウで表示)」にフォーカスを移動させただけでは何も起こらずに、リンクを押下したときだけ「用語解説のページ」と書かれたリンク先が別タブで開くことを確認した。

",,,,
,G108,‐,テスト不要,,,,,
,G115-1,○,"【1】リンク「ダウンロードページ」がリンクであることが分かるように表示されるか（例：他の部分とは文字色が異なり、下線が付いている）を確認する。

","【1】○
リンクであることが分かるように文字色が異なり（青）、下線が付いていることを確認した。

",,,,
