,Internet Explorer 8.0　アクセシビリティサポーテッド検証結果 [等級AA]  2012年5月版,,,,,記号の説明,,,,
,＊ この検証結果は、ウェブアクセシビリティ基盤委員会 実装ワーキンググループ（WG2）が提供する参考情報であり、予告なく変更されることがあります。,,,,,○,サポートあり,,,
,＊ この情報をご利用になる前に、ライセンス（利用許諾条項）と免責事項を必ずご確認ください。,,,,,△,一部サポート,,,
,＊最新版は、ウェブアクセシビリティ基盤委員会のサイトでご確認ください（http://waic.jp/docs/jis2010/as.html）。,,,,,×,サポートなし,,,
,,,,,,？,判定できず,,,
,,,,,,-,テスト不要（N/A）,,,
,"Windows7, Internet Explorer 8.0 , 支援技術なし",,,,,,,,,
,"テストファイル
No.","検証結果
○/△/×/?/-",操作手順,判断軸・不安要素,,,,,,
,C12,○,"メニューの[表示]－[文字サイズの変更]で、「最小」「最大」を選択して文字サイズを大きくして確認しました
「ユーザー」と「とても」が相対的に大きく表示されることを確認",,,,,,,
,C13,○,"メニューの[表示]－[文字サイズの変更]で、「最小」「最大」を選択して文字サイズを大きくして確認しました
「このテキストは何も指定していません。 」と比べ、他が相対的に表示されることを確認",,,,,,,
,C14,○,"メニューの[表示]－[文字サイズの変更]で、「最小」「最大」を選択して文字サイズを大きくして確認しました
「ユーザー」と「とても」が１．６倍（おそらく）に大きく表示されることを確認",,,,,,,
,C15-1,○,リンクテキストをマウスオーバー、もしくはキーボードフォーカスすることにより、背景色が青くなり、フォーカスが外れると元に戻ることを確認,,,,,,,
,C15-2a,×,テキストフィールドをマウスクリック、もしくはキーボードフォーカスしても背景色に変化は無かった。,,,,,,,
,C15-2b,×,テキストエリアをマウスクリック、もしくはキーボードフォーカスしても背景色に変化は無かった。,,,,,,,
,C15-2c,×,ラジオボタンをマウスクリック、もしくはキーボードフォーカスしても、背景色が緑にならなかった。,,,,,,,
,C15-2d,×,チェックボックスをマウスクリック、もしくはキーボードフォーカスしてspaceでチェックのon/offをしても、背景色は緑にはならなかった。,,,,,,,
,C15-2e,×,"１．セレクトメニューをマウスクリックすると背景色が青くハイライトするが、緑にはならない。フォーカスと外すと白に戻る。
２．キーボードフォーカスしても背景色が青くハイライトするが、緑にはならない。フォーカスと外すと白に戻る。",,,,,,,
