アクセシビリティサポーテッド検証結果一覧 [等級A]  2012年4月版,,,,,,,,,,,,,,,,,,,,,,,
＊ この検証結果は、ウェブアクセシビリティ基盤委員会 実装ワーキンググループ（WG2）が提供する参考情報であり、予告なく変更されることがあります。,,,,,,,,,,,,,,,,,,,,,,,
＊ この情報をご利用になる前に、ライセンス（利用許諾条項）と免責事項を必ずご確認ください。,,,,,,,,,,,,,,,,,,,,,,,
＊最新版は、ウェブアクセシビリティ基盤委員会のサイトでご確認ください（http://waic.jp/docs/jis2010/as.html）。,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
記号の説明,○,サポートあり,△,一部サポート,×,サポートなし,？,判定できず,-,テスト不要,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,検証結果　○/△/×/？/ - ,,,,,,,,,,,,,,,,,,,,,,
,XP,Vista,7,7,XP,7,7,Mac10.5,Mac 10.6.6,XP,XP,XP,XP,7,7,7,,,,,,,
,IE6,IE7,IE8,IE9,Firefox 3.5,Firefox 4.0,Firefox 9.0,Safari 3.2,"Safari 5.0.3
(＊Safari 5.1)",IE6,IE6,IE6,IE6,IE8,Firefox 3.6.3,Firefox 4.0.1,,,,,,,
テストファイルNo.,"支援技術
なし","支援技術
なし","支援技術
なし","支援技術
なし","支援技術
なし","支援技術
なし","支援技術
なし","支援技術
なし","支援技術
なし",JAWS 9,HPR 3.04,PC-Talker XP 3.06,PC-Talker XP 3.06 + NetReader 1.18,FocusTalk V3,NVDA 2010.1J,NVDA 2011.1,,,,,,,
達成基準 7.1.1.1 非テキストコンテンツに関する達成基準,,,,,,,,,,,,,,,,,,,,,,,
G014-4,-,-,-,-,-,-,-,-,-,○,○,○,○,○,○,○,,,,,,,
G122,-,-,-,-,-,-,-,-,-,○,○,○,○,○,○,○,,,,,,,
達成基準 7.1.4.2 音声制御に関する達成基準,,,,,,,,,,,,,,,,,,,,,,,
検証の対象となる実装方法なし,,,,,,,,,,,,,,,,,,,,,,,
達成基準 7.2.1.1 キーボード操作に関する達成基準,,,,,,,,,,,,,,,,,,,,,,,
G090-1,○,○,○,○,○,○,○,△,○,-,-,-,-,-,-,-,,,,,,,
G090-2,○,○,○,×,○,○,○,△,○,-,-,-,-,-,-,-,,,,,,,
G090-3,○,○,○,○,○,○,○,△,○,-,-,-,-,-,-,-,,,,,,,
G090-4,○,○,○,○,○,○,○,△,○,-,-,-,-,-,-,-,,,,,,,
G090-5,○,○,○,○,○,○,○,△,○,-,-,-,-,-,-,-,,,,,,,
H091-1a,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
H091-1b,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
H091-1c,○,○,○,○,○,○,○,○,○,○,○,△,△,△,○,○,,,,,,,
H091-2a,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
H091-2b,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
H091-2c,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
H091-2d,○,○,○,○,○,○,○,○,○,○,○,○,○,○,△,△,,,,,,,
H091-2e,△,△,△,△,△,△,△,△,△,○,○,△,△,△,△,△,,,,,,,
H091-3a,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
H091-3b,△,△,△,△,△,△,△,△,△,○,○,○,○,○,○,○,,,,,,,
H091-4,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
H091-5,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
H091-6a,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
H091-6b,△,△,△,△,△,△,△,△,△,○,○,○,○,△,○,○,,,,,,,
H091-7a,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
H091-7b,△,△,△,△,△,△,△,△,△,○,○,○,○,○,○,○,,,,,,,
H091-8,○,○,○,○,○,○,○,○,○,○,△,○,△,△,△,△,,,,,,,
SCR002,○,○,○,○,○,○,-,-,○*,○,○,○,○,○,-,○,2012/4 修正,,,,,,
SCR020-1,○,○,○,○,○,○,-,-,○*,×,○,○,○,○,-,○,2012/4 修正,,,,,,
SCR020-2,○,○,○,○,○,○,-,-,△*,×,×,△,○,○,-,×,2012/4 修正,,,,,,
SCR020-3,○,○,○,○,○,○,-,-,○*,○,○,○,○,○,-,○,2012/4 新規追加,,,,,,
SCR020-4,○,○,○,○,○,○,-,-,△*,○,×,○,○,○,-,○,2012/4 新規追加,,,,,,
SCR020-5,○,○,○,○,○,○,-,-,○*,○,×,○,○,○,-,○,2012/4 新規追加,,,,,,
SCR026,○,○,○,○,○,○,-,-,○*,○,×,○,○,○,-,○,2012/4 修正,,,,,,
SCR033,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,
SCR035-1,○,○,○,○,○,○,○,○,○,-,-,-,-,-,-,-,,,,,,,
SCR035-2,○,○,○,○,○,○,○,○,○,○,○,○,○,×,○,○,,,,,,,
SCR035-4,○,○,○,○,○,○,○,○,○,-,-,-,-,-,-,-,,,,,,,
SCR035-5,○,○,○,○,○,○,○,○,○,-,-,-,-,-,-,-,,,,,,,
SCR035-6,○,○,○,○,○,○,○,○,○,-,-,-,-,-,-,-,,,,,,,
達成基準 7.2.1.2 フォーカス移動に関する達成基準,,,,,,,,,,,,,,,,,,,,,,,
G021,○,○,○,○,×,×,×,×,×,○,○,○,○,○,○,○,,,,,,,
