,G096-2,○,"■操作手順
↓で進めてゆくと「利用可能な番号」「234-5678-90」「2345-6789-01」と一つずつ読み上げる、かつリストで作成されているため、各リスト項目の最後に例えば「リスト項目　四分の一」と読み上げるので、番号と何項目中の何項目目を確認することができる。
■読み上げ
「下にある「利用可能な番号」の一覧の中から希望する番号を選んでください。
利用可能な番号　1234-5678-90 2345-6789-01　3456-7890-12　4567-8901-23 」",,,,,,,,,
,G096-3,○,"■操作手順
↓で進めてゆくと「右下のプレビューボタンを押してください」「印刷」「キャンセル」「OK」「プレビュー」と一つずつと読み上げるので、確認することができる
■音声読み上げ
「右下のプレビューボタンを押してください　印刷　キャンセル　OK　プレビュー」",,,,,,,,,
,G107,○,"■操作手順
Tabでフォーカスを当てると「用語解説 新しいウィンドウで表示」と読み上げるが、ジャンプはしなく、Enterを押すと新しいウィンドウが開く
■読み上げ
「用語解説 新しいウィンドウで表示」",,,,,,,,,
,G108,○,"■操作手順
1.Tabでフォーカスを当てると「検索キーワードを入力のエディット」と読み上げる。
2.検索ボタンにフォーカスを当てると「検索のボタン」と読み上げる。
■音声読み上げ
「検索キーワードを入力のエディット」
「検索のボタン」",,,,,,,,,
,G115-1,○,"■操作手順
「新しいツールを試しますか？無料のデモ版は」（女性の声）「ダウンロードページ」（男性の声）「から入手可能です。」（女性の声）でリンクであることを認識できる。
■音声読み上げ
「新しいツールを試しますか？無料のデモ版は」（女性の声）「ダウンロードページ」（男性の声）「から入手可能です。」（女性の声）",,,,,,,,,
,G115-2,×,"■操作手順
「夏目漱石の小説」「我輩は猫である」「は、彼の視点から描かれている」と同じ声で読み上げる、「我輩は猫である。名前はまだない…」の引用部分も同じ読み上げ方をするので、引用であることが分かるように読み上げない。
■音声読み上げ
「夏目漱石の小説「吾輩は猫である」は、猫の視点から描かれている。書き出しはこうだ。吾輩は猫である。名前はまだ無い。・・・・」",引用であることを分かるように読み上げない,,,,,,,,
,G115-3,○,"■操作手順
「エンジンを始動する前に、ギアがニュートラルにあることを確認してください。 強調 次にキーをまわして点火します。エンジンが始動するはずです。」と強調箇所の後に「強調」と読み上げ、強調していることが分かる。
■音声読み上げ
「エンジンを始動する前に、ギアがニュートラルにあることを確認してください。 強調 次にキーをまわして点火します。エンジンが始動するはずです。」","左記は、一文ずつ読み上げた結果。
全文読みで読み上げた場合、「ギアがニュートラルにあることを確認してください。」の後に「強調」とは発声されない。",,,,,,,,
,G115-4,△,"■操作手順
「彼女が本当に 強調 言いたかったのは、""これは良いどころではなく、むしろ素晴らしい 強調 ""ということだった」と強調箇所の後に「強調」と読み上げ、強調していることが分かる。
■音声読み上げ
「彼女が本当に 強調 言いたかったのは、""これは良いどころではなく、むしろ素晴らしい 強調 ""ということだった」","左記は、一文ずつ読み上げた結果。
全文読みで読み上げた場合、「本当に」や「素晴らしい」の後に「強調」とは発声されない。",,,,,,,,
,G115-5,○,"■操作手順
「そのプレー対する痛烈な 強調 批評は、少々厳しすぎるように思われました」と強調箇所の後に「強調」と読み上げ、強調していることが分かる。
■音声読み上げ
「そのプレー対する痛烈な 強調 批評は、少々厳しすぎるように思われました」","左記は、一文ずつ読み上げた結果。
全文読みで読み上げた場合、「痛烈な」の後に「強調」とは発声されない。",,,,,,,,
,G117,○,"■操作手順
太字、斜体、アンダーライン、取り消し線はそのまま読み上げるが、「製品B新製品」「製品B特価品」「製品B注目商品」「製品B生産中止」と分かるように読み上げる
■音声読み上げ
「1.太字は新製品です。製品 A　製品 B（新製品）　製品 C　2.斜体は特価品です。」","左記は全文読みで読み上げた場合。
一文ずつ読み上げると、取り消し線のある製品Bの場合のみ、「製品B リスト項目 3分の2 取り消し線」と読み上げる。",,,,,,,,
,G122,○,"■操作手順
「必須」と読み上げているので伝達できている。
■音声読み上げ
「お名前　必須」",,,,,,,,,
,G123-4a,△,"■操作手順
1.「メインナビゲーションをスキップ」でEnterを押すと「リンク C」と読み上げる。Tabを押すと「サブ ナビゲーションをスキップ」にフォーカスが移動してゆく
2.「サブ ナビゲーションをスキップ」でEnterを押すと読み上げが停止する。Tabを押すと「ウルトラ サブ ナビゲーションをスキップ」にフォーカスが移動してゆく
3.「ウルトラサブナビゲーションをスキップ」でEnterを押すと読み上げが停止する。Tabを押すと「アクセシビリティ」にフォーカスが移動してゆく
■音声読み上げ
「メインナビゲーションをスキップ、サブナビゲーション　（tab）リンクA」
「サブナビゲーションをスキップ、ウルトラサブナビゲーション、リンクA」","1：△
tabを押下した後の動作は、テスト方法通りであるが、スキップリンクでEnterを押下した後に、一つ手前の「リンクC」と不要なものを読み上げる。

リンクを押下（Enter）した後、読み上げを待たずにTabを押して検証すると正当な動きはする
2：○
3：○",,,,,,,,
,G123-4b,△,"■操作手順
1.「メインナビゲーションをスキップ」でEnterを押すと「リンク C」と読み上げる。Tabを押すと「サブ ナビゲーションをスキップ」にフォーカスが移動してゆく
2.「サブ ナビゲーションをスキップ」でEnterを押すと読み上げが停止する。Tabを押すと「ウルトラ サブ ナビゲーションをスキップ」にフォーカスが移動してゆく
3.「ウルトラサブナビゲーションをスキップ」でEnterを押すと読み上げが停止する。Tabを押すと「アクセシビリティ」にフォーカスが移動してゆく
■音声読み上げ
「メインナビゲーションをスキップ、サブナビゲーション　（tab）リンクA」
「サブナビゲーションをスキップ、ウルトラサブナビゲーション、リンクA」","1：△
tabを押下した後の動作は、テスト方法通りであるが、スキップリンクでEnterを押下した後に、一つ手前の「リンクC」と不要なものを読み上げる。

リンクを押下（Enter）した後、読み上げを待たずにTabを押して検証すると正当な動きはする
2：○
3：○",,,,,,,,
,G124-1,○,"■操作手順
1.「メインコンテンツへスキップ」でEnterを押すと「サイトマップ」と読み上げる。Tabを押すと、「メインコンテンツにあるリンク」と読み上げる。
2.「検索ボックスへスキップ」でEnterを押すと「メインメニューへスキップ」と読み上げる。Tabを押すと、「検索のエディット」と読み上げる。
3.「ナビゲーションバーへスキップ」でEnterを押すと「送信のボタン」と読み上げる。Tabを押すと、「このサイトについて」と読み上げる。
■読み上げ
「メインコンテンツへスキップ（enter）サイトマップ（すぐtab）メインコンテンツにあるリンク」
「検索ボックスへスキップ（enter）メインメニューへスキップ（すぐtab）検索のエディット」
「ナビゲーションバーへスキップ（enter）送信のボタン（すぐtab）このサイトについて」","1：○
2：○
3：○

tabを押下した後の動作は、テスト方法通りであるが、スキップリンクでEnterを押下した後に、送信ボタン等の不要なものを読み上げる。

リンクを押下（Enter）した後、読み上げを待たずにTabを押して検証すると正当な動きはする",,,,,,,,
,G124-2,○,"■操作手順
1.「メインコンテンツへスキップ」でEnterを押すと「サイトマップ」と読み上げる。Tabを押すと、「メインコンテンツにあるリンク」と読み上げる。
2.「検索ボックスへスキップ」でEnterを押すと「メインメニューへスキップ」と読み上げる。Tabを押すと、「検索のエディット」と読み上げる。
3.「ナビゲーションバーへスキップ」でEnterを押すと「送信のボタン」と読み上げる。Tabを押すと、「このサイトについて」と読み上げる。
■読み上げ
「メインコンテンツへスキップ（enter）サイトマップ（すぐtab）メインコンテンツにあるリンク」
「検索ボックスへスキップ（enter）メインメニューへスキップ（すぐtab）検索のエディット」
「ナビゲーションバーへスキップ（enter）送信のボタン（すぐtab）このサイトについて」","1：○
2：○
3：○

tabを押下した後の動作は、テスト方法通りであるが、スキップリンクでEnterを押下した後に、送信ボタン等の不要なものを読み上げる。

リンクを押下（Enter）した後、読み上げを待たずにTabを押して検証すると正当な動きはする",,,,,,,,
,G138,△,"■操作手順
1.「件名　空きカギカッコ 必須 閉じカギカッコ コロンのエディット」、「お勤め先のエディット」、「エディット」、「送信のボタン」と読み上げる。
2.[必須]は普通に読み上げて強調であることは分からない
■音声読み上げ
「件名　空きカギカッコ 必須 閉じカギカッコ コロンのエディット　お勤め先のエディット　エディット　送信のボタン」","1：×
　・空きカギカッコ、閉じカギカッコは発声する場合もあるが、発声しない場合もある。どのような操作によりそれらが変わるのかは、不明。（FocusTalkの設定は常に初期値の状態）
　・「お名前[必須]」のエディットボックスのラベルが、「お勤め先」と読み上げられる。また「お勤め先」のエディットボックスのラベルは読み上げられない。
2：×
",,,,,,,,
,G187,-,テスト不要,,,,,,,,,
,G196-1,○,"■操作手順
ページ全文読みモードで「5つ星（せい）中、星3個」と読み上げた。他の画像は読み上げられなかった。
■音声読み上げ
「イツツセイチュウ、星3個」",,,,,,,,,
,G196-2,○,"■操作手順
「対応レベル」「A」「AA」「AAA」と読み上げる。
■音声読み上げ
「対応レベル　エー　エーエー　エーエーエー」",,,,,,,,,
,H002-1,○,"■操作手順
フォーカスが移動すると、「富士通公開サイト、未訪問のリンク」と読み上げられた。
■音声読み上げ
「富士通公開サイト、未訪問のリンク」",,,,,,,,,
,H002-2,×,"■操作手順
Tabを押してリンクにフォーカスを合わせると「公式サイト」と読み上げる
■音声読み上げ
「公式サイト」",,,,,,,,,
,H004-1,×,"■操作手順
「夫の姓のエディット」、「妻の姓のエディット」、「夫の名のエディット」、「妻の名のエディット」、「夫の出身地のエディット」、「妻の出身地のエディット」と読み上げる
■音声読み上げ
「夫の姓のエディット　妻の姓のエディット　夫の名のエディット　妻の名のエディット 夫の出身地のエディット　妻の出身地のエディット」",,,,,,,,,
