,G053,△,"■読み上げ（テキスト画面）
「ウェブアクセシビリティ基盤委員会の詳細は、ここをクリック、改行」（Alt + F9）

1.△：デフォルトをグラフィック画面にしているが、テキスト画面のみ操作して読み上げることが可能
2.○：テキスト画面での読み上げのところからリンク先に遷移することは可能",2012年4月修正,,,,,
,G088-1,○,"■操作手順
ページを開いた後、Alt＋F1でページタイトルを読み上げる。

■音声読み上げ
「自己適合宣言　タテボウ　ウェブアクセシビリティ基盤委員会」",,,,,,
,G090-1,-,テスト不要,,,,,,
,G090-2,-,テスト不要,,,,,,
,G090-3,-,テスト不要,,,,,,
,G090-4,-,テスト不要,,,,,,
,G090-5,-,テスト不要,,,,,,
,G091,○,"■操作手順
テキストリンクにフォーカスを移動させた際に、ラベル「東京駅構内の最新のルート」を読み上げ、キー操作によりリンク先のページへ移動できた。

■音声読み上げ
「東京駅構内の最新のルート　リンク」",,,,,,
,G096-1,○,"■操作手順
次へ進むためのボタンを見つけることができる（「円い ""go"" ボタンを押してください。」という説明を聞き、""go"" というラベルの付いたボタンを見つけることができる）。

■音声読み上げ
「次へ進むには　テン　円い　クォーテーション　go　クォーテーション　ボタンを押してください　マル」
「go　確認」",,,,,,
,G096-2,○,"■操作手順
位置（「下」）が分からなくても、「利用可能な番号」という見出しを探し出し、選ぶことのできる番号を確認することができる。
■音声読み上げ
「下にある　カギ　利用可能な番号　カギトジ　の一覧の中から希望する番号を選んでください　マル
利用可能な番号　センニヒャクサンジュウヨン　マイナス　ゴセンロッピャクナナジュウハチ　マイナス　キュウジュウ・・・」",,,,,,
,G096-3,○,"■操作手順
位置（右下）が分からなくても、「プレビュー」ボタンを見つけることができた。
■音声読み上げ
「右下の　カギ　プレビュー　カギトジ　ボタンを押してください　マル
印刷　キャンセル　オーケー　プレビュー」",,,,,,
,G107,○,"■操作手順リンク「用語解説 (新しいウィンドウで表示)」にフォーカスを移動させただけでは何も起こらずに、リンクを押下したときだけリンク先が別ウィンドウで開いた。
■音声読み上げ
「用語解説　カッコ　新しいウィンドウで表示　カッコ」",リンク先を新しいウィンドウで開くかどうかは、ユーザーの意思に委ねられる。（ダイアログが出現する）,,,,,
,G108,○,"■操作手順
テキストフィールドにフォーカスを移動させた際に、テキストフィールドであることは「文字入力」という読み上げで理解でき、及びtitle属性値「検索キーワードを入力」が読み上げた。
[検索]ボタンにフォーカスを移動させた際に、ボタンであることは「確認」の読み上げで理解でき、及びvalue属性値「検索」が読み上げた。 
■音声読み上げ
「検索キーワードを入力　文字入力」（テキストフィールドにフォーカス移動させた場合）
「検索　確認」（にフォーカス移動させた場合）",,,,,,
,G115-1,○,"■操作手順
リンク「ダウンロードページ」にフォーカスを移動させると、リンクであることが分かるように読み上げられた。（他よりも高い声／設定で変更できる箇所でもある）
■音声読み上げ

「新しいツールを試しますか　クエスチョン　無料のデモ版はダウンロードページから入手可能です　マル」",,,,,,
,G115-2,×,"■操作手順
cite要素でマークアップされた「吾輩は猫である」が、引用元であることが分かるように読み上げない。
blockquote要素でマークアップされた部分「吾輩は猫である。名前はまだ無い。･･･思わなかった。」が、引用部分であることが分かるように読み上げない。
■音声読み上げ
「夏目漱石の小説　カギ　吾輩は猫である　カギトジ　は　テン　猫の視点から描かれている　マル　書き出しはこうだ　マル
吾輩は猫である　マル　名前はまだ無い　マル・・・」",,,,,,
,G115-3,×,"■操作手順
strong要素でマークアップされた「ギアがニュートラルにあることを確認してください」が、強調されていることが分かるように読み上げなかった。
■音声読み上げ
「エンジンを始動する方法
エンジンを始動する前に　テン　ギアがニュートラルにあることを確認してください　マル・・・」",,,,,,
,G115-4,×,"■操作手順
em要素（「本当に」）、strong要素（「素晴らしい」）ともに、強調されている箇所であることが分かるようには読み上げなかった。。
■音声読み上げ
「ピリオド　彼女が本当に言いたかったのは　テン　コーテーション　これは良いどころではなく　テン　むしろ素晴らしい　コーテーション　ということだった　カンタンフ　ピリオド」",,,,,,
,G115-5,×,"■操作手順
em要素でマークアップされた「痛烈な」が、強調されていることが分かるように読み上げなかった。
■音声読み上げ
「新しい単語は　テン　背景色をシアンにしてハイライトかつ強調されています　マル
そのプレー対する痛烈な批評は　テン・・・」",,,,,,
