テストファイルNo.,実装方法タイトル,対象,見解,代替もしくは推奨する方法,注意点,備考
達成基準 7.2.4.3 フォーカス順序,,,,,,
H4-1,H4: リンク、フォームのコントロール、及びオブジェクトには、論理的なタブ移動順序を作成する,table内のinput要素のtabindex属性,要注意,,FocusTalk、VoiceOverでは想定通りの動作をしない。,FocusTalk、VoiceOverの今後の機能向上に期待する。
H4-2,H4: リンク、フォームのコントロール、及びオブジェクトには、論理的なタブ移動順序を作成する,リンクより後に出現したinput要素のtabindex属性,要注意,,NetReader、VoiceOverでは想定通りの動作をしない。,NetReader、VoiceOverの今後の機能向上に期待する。
SCR26,SCR26: 動的なコンテンツをDOMのそのトリガーとなる要素の直後に挿入する,DOM操作でリンクの後に挿入される要素,達成可能,,ほとんどのスクリーンリーダーでは問題ないが、HPRでは読み上げがページの先頭に戻ってしまうという問題がある。HPRは既にサポートされていない古いスクリーンリーダーであるが、対応させる必要がある場合は注意が必要。,
SCR37,SCR37: デバイス非依存な方法でカスタム・ダイアログを作成する,onclickイベント,要注意,スクリーンリーダーでは、ダイアログを開くだけで何も読み上げず、ダイアログが開いたことも音声では分からない。そのため、そのボタンを押すとダイアログが開くことを明示するなどしたほうがよい。,,
