テストファイルNo.,実装方法タイトル,対象,見解,代替／推奨方法,注意点,備考
C015-1,C15: CSSを用いて、ユーザーインタフェースコンポーネントがフォーカスを受けとったときの表示を変更する,a要素,達成可能,,,IE6ではキーボード操作時に背景色が変更されないが、標準のドットの囲み罫線は表示される。
C015-2a,C15: CSSを用いて、ユーザーインタフェースコンポーネントがフォーカスを受けとったときの表示を変更する,"input type=""text""",要注意,,標準のコントロールを使用する場合、標準のスタイルを変更していないかぎり、G149、G165によって達成基準は自動的に満たされていると考えてよい。,C15を用いた場合、IE6、IE7、IE8では背景色が変更されないが、IE9ではサポートされており、今後の新しいバージョンでのサポートが期待できる。
C015-2b,C15: CSSを用いて、ユーザーインタフェースコンポーネントがフォーカスを受けとったときの表示を変更する,textarea要素,要注意,,標準のコントロールを使用する場合、標準のスタイルを変更していないかぎり、G149、G165によって達成基準は自動的に満たされていると考えてよい。,C15を用いた場合、IE6、IE7、IE8では背景色が変更されないが、IE9ではサポートされており、今後の新しいバージョンでのサポートが期待できる。
C015-2c,C15: CSSを用いて、ユーザーインタフェースコンポーネントがフォーカスを受けとったときの表示を変更する,"input type=""radio""",達成不可能,例えば、SCR31のように、:focus疑似クラスや隣接セレクタをサポートしていないブラウザでも動作するようにスクリプトを用いて実装する方法が考えられる。,標準のコントロールを使用する場合、標準のスタイルを変更していないかぎり、G149、G165によって達成基準は自動的に満たされていると考えてよい。,C15を用いてラベルも強調したい場合、意図した通りに動作しないブラウザが複数ある。
C015-2d,C15: CSSを用いて、ユーザーインタフェースコンポーネントがフォーカスを受けとったときの表示を変更する,"input type=""checkbox""",達成不可能,例えば、SCR31のように、:focus疑似クラスや隣接セレクタをサポートしていないブラウザでも動作するようにスクリプトを用いて実装する方法が考えられる。,標準のコントロールを使用する場合、標準のスタイルを変更していないかぎり、G149、G165によって達成基準は自動的に満たされていると考えてよい。,C15を用いてラベルも強調したい場合、意図した通りに動作しないブラウザが複数ある。
C015-2e,C15: CSSを用いて、ユーザーインタフェースコンポーネントがフォーカスを受けとったときの表示を変更する,select要素,要注意,,標準のコントロールを使用する場合、標準のスタイルを変更していないかぎり、G149、G165によって達成基準は自動的に満たされていると考えてよい。,C15を用いた場合、IE6、IE7、IE8では背景色が変更されないが、IE9ではサポートされており、今後の新しいバージョンでのサポートが期待できる。
C015-2f,C15: CSSを用いて、ユーザーインタフェースコンポーネントがフォーカスを受けとったときの表示を変更する,"input type=""submit/reset/button"" ",要注意,,標準のコントロールを使用する場合、標準のスタイルを変更していないかぎり、G149、G165によって達成基準は自動的に満たされていると考えてよい。,C15を用いた場合、IE6、IE7、IE8では背景色が変更されないが、IE9ではサポートされており、今後の新しいバージョンでのサポートが期待できる。
C015-2g,C15: CSSを用いて、ユーザーインタフェースコンポーネントがフォーカスを受けとったときの表示を変更する,button要素,要注意,,標準のコントロールを使用する場合、標準のスタイルを変更していないかぎり、G149、G165によって達成基準は自動的に満たされていると考えてよい。,C15を用いた場合、IE6、IE7、IE8では背景色が変更されないが、IE9ではサポートされており、今後の新しいバージョンでのサポートが期待できる。
SCR026,SCR26: 動的なコンテンツをDOMのそのトリガーとなる要素の直後に挿入する,Ajax等による動的コンテンツ,要注意,,,HPRでは読み上げがページの先頭に戻ってしまう。
