old_url,new_url
https://waic.jp/docs/as/info/results/0018-01.html,https://waic.github.io/as_info/results/0018-01.html
https://waic.jp/docs/as/info/results/0018-02.html,https://waic.github.io/as_info/results/0018-02.html
https://waic.jp/docs/as/info/results/0018-03.html,https://waic.github.io/as_info/results/0018-03.html
https://waic.jp/docs/as/info/results/0019-01.html,https://waic.github.io/as_info/results/0019-01.html
https://waic.jp/docs/as/info/results/0019-02.html,https://waic.github.io/as_info/results/0019-02.html
https://waic.jp/docs/as/info/results/0019-03.html,https://waic.github.io/as_info/results/0019-03.html
https://waic.jp/docs/as/info/results/0019-04.html,https://waic.github.io/as_info/results/0019-04.html
https://waic.jp/docs/as/info/results/0019-05.html,https://waic.github.io/as_info/results/0019-05.html
https://waic.jp/docs/as/info/results/0022-01.html,https://waic.github.io/as_info/results/0022-01.html
https://waic.jp/docs/as/info/results/0024-01.html,https://waic.github.io/as_info/results/0024-01.html
https://waic.jp/docs/as/info/results/0024-02.html,https://waic.github.io/as_info/results/0024-02.html
https://waic.jp/docs/as/info/results/0025-01.html,https://waic.github.io/as_info/results/0025-01.html
https://waic.jp/docs/as/info/results/0026-01.html,https://waic.github.io/as_info/results/0026-01.html
https://waic.jp/docs/as/info/results/0026-02.html,https://waic.github.io/as_info/results/0026-02.html
https://waic.jp/docs/as/info/results/0026-03.html,https://waic.github.io/as_info/results/0026-03.html
https://waic.jp/docs/as/info/results/0027-01.html,https://waic.github.io/as_info/results/0027-01.html
https://waic.jp/docs/as/info/results/0027-02.html,https://waic.github.io/as_info/results/0027-02.html
https://waic.jp/docs/as/info/results/0027-03.html,https://waic.github.io/as_info/results/0027-03.html
https://waic.jp/docs/as/info/results/0027-04.html,https://waic.github.io/as_info/results/0027-04.html
https://waic.jp/docs/as/info/results/0027-05.html,https://waic.github.io/as_info/results/0027-05.html
https://waic.jp/docs/as/info/results/0027-06.html,https://waic.github.io/as_info/results/0027-06.html
https://waic.jp/docs/as/info/results/0028-01.html,https://waic.github.io/as_info/results/0028-01.html
https://waic.jp/docs/as/info/results/0028-02.html,https://waic.github.io/as_info/results/0028-02.html
https://waic.jp/docs/as/info/results/0029-01.html,https://waic.github.io/as_info/results/0029-01.html
https://waic.jp/docs/as/info/results/0029-02.html,https://waic.github.io/as_info/results/0029-02.html
https://waic.jp/docs/as/info/results/0029-03.html,https://waic.github.io/as_info/results/0029-03.html
https://waic.jp/docs/as/info/results/0029-04.html,https://waic.github.io/as_info/results/0029-04.html
https://waic.jp/docs/as/info/results/0029-05.html,https://waic.github.io/as_info/results/0029-05.html
https://waic.jp/docs/as/info/results/0029-06.html,https://waic.github.io/as_info/results/0029-06.html
https://waic.jp/docs/as/info/results/0029-07.html,https://waic.github.io/as_info/results/0029-07.html
https://waic.jp/docs/as/info/results/0029-08.html,https://waic.github.io/as_info/results/0029-08.html
https://waic.jp/docs/as/info/techs/H2.html,https://waic.github.io/as_info/techs/H2.html
https://waic.jp/docs/as/info/techs/H4.html,https://waic.github.io/as_info/techs/H4.html
https://waic.jp/docs/as/info/techs/H24.html,https://waic.github.io/as_info/techs/H24.html
https://waic.jp/docs/as/info/techs/H25.html,https://waic.github.io/as_info/techs/H25.html
https://waic.jp/docs/as/info/techs/H30.html,https://waic.github.io/as_info/techs/H30.html
https://waic.jp/docs/as/info/techs/H32.html,https://waic.github.io/as_info/techs/H32.html
https://waic.jp/docs/as/info/techs/H33.html,https://waic.github.io/as_info/techs/H33.html
https://waic.jp/docs/as/info/techs/H36.html,https://waic.github.io/as_info/techs/H36.html
https://waic.jp/docs/as/info/techs/H37.html,https://waic.github.io/as_info/techs/H37.html
https://waic.jp/docs/as/info/techs/H39.html,https://waic.github.io/as_info/techs/H39.html
https://waic.jp/docs/as/info/techs/H42.html,https://waic.github.io/as_info/techs/H42.html
https://waic.jp/docs/as/info/techs/H43.html,https://waic.github.io/as_info/techs/H43.html
https://waic.jp/docs/as/info/techs/H44.html,https://waic.github.io/as_info/techs/H44.html
https://waic.jp/docs/as/info/techs/H45.html,https://waic.github.io/as_info/techs/H45.html
https://waic.jp/docs/as/info/techs/H48.html,https://waic.github.io/as_info/techs/H48.html
https://waic.jp/docs/as/info/techs/H49.html,https://waic.github.io/as_info/techs/H49.html
https://waic.jp/docs/as/info/techs/H51.html,https://waic.github.io/as_info/techs/H51.html
https://waic.jp/docs/as/info/techs/H57.html,https://waic.github.io/as_info/techs/H57.html
https://waic.jp/docs/as/info/techs/H63.html,https://waic.github.io/as_info/techs/H63.html
https://waic.jp/docs/as/info/techs/H64.html,https://waic.github.io/as_info/techs/H64.html
https://waic.jp/docs/as/info/techs/H65.html,https://waic.github.io/as_info/techs/H65.html
https://waic.jp/docs/as/info/techs/H67.html,https://waic.github.io/as_info/techs/H67.html
https://waic.jp/docs/as/info/techs/H69.html,https://waic.github.io/as_info/techs/H69.html
https://waic.jp/docs/as/info/techs/H70.html,https://waic.github.io/as_info/techs/H70.html
https://waic.jp/docs/as/info/techs/H71.html,https://waic.github.io/as_info/techs/H71.html
https://waic.jp/docs/as/info/techs/H77.html,https://waic.github.io/as_info/techs/H77.html
https://waic.jp/docs/as/info/techs/H78.html,https://waic.github.io/as_info/techs/H78.html
https://waic.jp/docs/as/info/techs/H79.html,https://waic.github.io/as_info/techs/H79.html
https://waic.jp/docs/as/info/techs/H80.html,https://waic.github.io/as_info/techs/H80.html
https://waic.jp/docs/as/info/techs/H81.html,https://waic.github.io/as_info/techs/H81.html
https://waic.jp/docs/as/info/techs/H85.html,https://waic.github.io/as_info/techs/H85.html
https://waic.jp/docs/as/info/techs/H97.html,https://waic.github.io/as_info/techs/H97.html
https://waic.jp/docs/as/info/techs/C6.html,https://waic.github.io/as_info/techs/C6.html
https://waic.jp/docs/as/info/techs/ARIA1.html,https://waic.github.io/as_info/techs/ARIA1.html
